KeyName,SCValue,input type,set,MinRange,MaxRange
BCPressure.PatchNames,x-lower x-upper y-lower y-upper z-lower z-upper,list/string,Constant,NA,NA
ComputationalGrid.DX,[dxdy],double,Variable,1,1000
ComputationalGrid.DY,[dxdy],double,Variable,1,1000
ComputationalGrid.DZ,divide 100 ComputationalGrid.NZ,double,Calculate,0.01,1
ComputationalGrid.Lower.X,0,double,Constant,NA,NA
ComputationalGrid.Lower.Y,0,double,Constant,NA,NA
ComputationalGrid.Lower.Z,0,double,Constant,NA,NA
ComputationalGrid.NX,1,integer,Constant,NA,NA
ComputationalGrid.NY,1,integer,Constant,NA,NA
ComputationalGrid.NZ,[nz],integer,Variable,5,1000
Contaminants.Names,,string,Constant,NA,NA
Cycle.constant.alltime.Length,1,integer,Constant,NA,NA
Cycle.constant.Repeat,-1,integer,Constant,NA,NA
Cycle.constant.Names,alltime,string,Constant,NA,NA
Cycle.Names,constant prerainrec,string,Constant,NA,NA
Cycle.prerainrec.Names,pre rain rec,string,Constant,NA,NA
Cycle.prerainrec.pre.Length,24,integer,Constant,NA,NA
Cycle.prerainrec.rain.Length,5,integer,Constant,NA,NA
Cycle.prerainrec.rec.Length,subtract TimingInfo.StopTime Cycle.prerainrec.pre.Length Cycle.prerainrec.rain.Length,integer,Calculate,NA,NA
Cycle.prerainrec.Repeat,-1,integer,Constant,NA,NA
Domain.GeomName,domain,string,Constant,NA,NA
FileVersion,4,integer,Constant,NA,NA
Geom.domain.ICPressure.RefGeom,domain,string,Constant,NA,NA
Geom.domain.ICPressure.RefPatch,z-lower,string,Constant,NA,NA
Geom.domain.ICPressure.Value,[ip],double,Variable,0,10
Geom.domain.Lower.X,0,double,Constant,NA,NA
Geom.domain.Lower.Y,0,double,Constant,NA,NA
Geom.domain.Lower.Z,0,double,Constant,NA,NA
Geom.domain.Patches,x-lower x-upper y-lower y-upper z-lower z-upper,double,Constant,NA,NA
Geom.domain.Perm.TensorValX,1,double,Constant,NA,NA
Geom.domain.Perm.TensorValY,1,double,Constant,NA,NA
Geom.domain.Perm.TensorValZ,[tz],double,Variable,0.1,1
Geom.domain.Perm.Type,Constant,string,Constant,NA,NA
Geom.domain.Perm.Value,[perm],double,Variable,0.0001,1
Geom.domain.Porosity.Type,Constant,string,Constant,NA,NA
Geom.domain.Porosity.Value,[por],double,Variable,0.05,0.5
Geom.domain.RelPerm.Alpha,[alpha],double,Variable,0.03,4
Geom.domain.RelPerm.N,[n],double,Variable,1.3,3.2
Geom.domain.Saturation.Alpha,[alpha],double,Variable,0.03,4
Geom.domain.Saturation.N,[n],double,Variable,1.3,3.2
Geom.domain.Saturation.SRes,[res],double,Variable,0.02,0.25
Geom.domain.Saturation.SSat,1,double,Constant,NA,NA
Geom.domain.SpecificStorage.Value,[ss],double,Variable,1.00E-07,1.00E-03
Geom.domain.Upper.X,multiply ComputationalGrid.NX ComputationalGrid.DX,double,Calculate,NA,NA
Geom.domain.Upper.Y,multiply ComputationalGrid.NY ComputationalGrid.DY,double,Calculate,NA,NA
Geom.domain.Upper.Z,multiply ComputationalGrid.NZ ComputationalGrid.DZ,cou,Calculate,NA,NA
Geom.Perm.Names,domain,list/string,Constant,NA,NA
Geom.Perm.TensorByGeom.Names,domain,string,Constant,NA,NA
Geom.Porosity.GeomNames,domain,string,Constant,NA,NA
GeomInput.domain_input.GeomName,domain,string,Constant,NA,NA
GeomInput.domain_input.InputType,Box,string,Constant,NA,NA
GeomInput.Names,domain_input,string,Constant,NA,NA
Gravity,1,double,Constant,NA,NA
ICPressure.GeomNames,domain,string,Constant,NA,NA
ICPressure.Type,HydroStaticPatch,string,Constant,NA,NA
KnownSolution,NoKnownSolution,string,Constant,NA,NA
Mannings.Geom.domain.Value,[man],double,Variable,0.0000001,0.1
Mannings.GeomNames,domain,string,Constant,NA,NA
Mannings.Type,Constant,string,Constant,NA,NA
